MSFT (Microsoft Corporation),188.74,2.5498
Feb 11 2020 @ 08:31 ET,Bid,191.23,Ask,191.25,Size,18x19,Vol,35844267
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/28/2020,MSFT200228C00148000,35.65,-0.45,40.55,41.45,1,0.02,0.9453,0.0036,2,148.000,MSFT200228P00148000,0.19,0,0,0.09,0,0.4569,-0.0076,0.0011,786
02/28/2020,MSFT200228C00149000,38.12,2.97,39.55,40.45,3,0.02,0.9449,0.0037,8,149.000,MSFT200228P00149000,0.09,0,0.05,0.09,0,0.4616,-0.0096,0.0013,816
02/28/2020,MSFT200228C00150000,36.82,2.67,38.55,39,20,0.02,0.9563,0.0034,353,150.000,MSFT200228P00150000,0.05,-0.035,0.05,0.06,3,0.4393,-0.0085,0.0013,660
02/28/2020,MSFT200228C00152500,34.08,2.455,36,36.6,2,0.02,0.9549,0.0038,21,152.500,MSFT200228P00152500,0.06,-0.055,0.04,0.1,37,0.4281,-0.0116,0.0017,900
02/28/2020,MSFT200228C00155000,32.3,3.175,33.6,34.4,22,0.02,0.9418,0.0047,88,155.000,MSFT200228P00155000,0.08,-0.04,0.05,0.11,18,0.4064,-0.0136,0.002,1442
02/28/2020,MSFT200228C00157500,25.73,0,31.05,31.65,0,0.02,0.9504,0.0047,105,157.500,MSFT200228P00157500,0.09,-0.055,0.06,0.11,70,0.3884,-0.017,0.0026,1591
02/28/2020,MSFT200228C00160000,27.74,3.615,28.6,29.1,78,0.02,0.9491,0.0052,329,160.000,MSFT200228P00160000,0.11,-0.075,0.08,0.12,64,0.3619,-0.019,0.0031,982
02/28/2020,MSFT200228C00162500,24.86,3.185,26.15,26.65,39,0.02,0.943,0.0061,399,162.500,MSFT200228P00162500,0.12,-0.125,0.11,0.15,32,0.3459,-0.0247,0.004,815
02/28/2020,MSFT200228C00165000,22.59,3.34,23.65,24.1,39,0.02,0.9427,0.0069,1171,165.000,MSFT200228P00165000,0.16,-0.16,0.15,0.19,348,0.3284,-0.0317,0.0052,1355
02/28/2020,MSFT200228C00167500,20.65,3.8,21.2,21.5,94,0.02,0.9423,0.0078,1106,167.500,MSFT200228P00167500,0.24,-0.205,0.21,0.25,138,0.3142,-0.0426,0.0069,1135
02/28/2020,MSFT200228C00170000,19,4.5,18.75,19.25,235,0.02,0.9206,0.0103,7204,170.000,MSFT200228P00170000,0.32,-0.305,0.3,0.34,232,0.3037,-0.0595,0.0093,1361
02/28/2020,MSFT200228C00172500,16,3.775,16.4,16.75,178,0.02,0.9048,0.0128,1034,172.500,MSFT200228P00172500,0.46,-0.44,0.43,0.47,291,0.2931,-0.0824,0.0124,816
02/28/2020,MSFT200228C00175000,14.15,4.075,14.05,14.4,710,0.02,0.8783,0.0163,4314,175.000,MSFT200228P00175000,0.63,-0.66,0.62,0.67,603,0.2849,-0.115,0.0162,1627
02/28/2020,MSFT200228C00177500,11.9,3.825,11.75,12.2,384,0.202,0.9098,0.0188,816,177.500,MSFT200228P00177500,0.95,-0.89,0.92,0.97,368,0.2782,-0.1591,0.0208,6465
02/28/2020,MSFT200228C00180000,9.8,3.5,9.7,10,1288,0.2176,0.832,0.0272,3250,180.000,MSFT200228P00180000,1.36,-1.24,1.36,1.43,1571,0.275,-0.2175,0.0255,1488
02/28/2020,MSFT200228C00182500,7.95,3.15,7.85,8,3029,0.2254,0.7445,0.0338,2030,182.500,MSFT200228P00182500,2,-1.6,1.93,2.01,674,0.2738,-0.2886,0.0297,624
02/28/2020,MSFT200228C00185000,6.25,2.65,6.15,6.3,5892,0.2317,0.6472,0.0381,2987,185.000,MSFT200228P00185000,2.84,-2.06,2.75,2.85,1293,0.274,-0.3692,0.0328,1109
02/28/2020,MSFT200228C00187500,4.8,2.155,4.75,4.85,5898,0.2379,0.5463,0.0396,3585,187.500,MSFT200228P00187500,3.9,-2.55,3.8,3.95,545,0.2776,-0.4549,0.034,328
02/28/2020,MSFT200228C00190000,3.6,1.67,3.55,3.7,4683,0.2421,0.4481,0.0389,4932,190.000,MSFT200228P00190000,5.25,-3,5.15,5.3,109,0.2847,-0.5385,0.0332,116
